Fiscal Year,Country,Financier
2024,Cambodia,IDA
2024,China,IBRD
2024,China,IDA
2024,Fiji,IBRD
2024,Fiji,IDA
2024,Indonesia,IBRD
2024,Indonesia,IDA
2024,Kiribati,IDA
2024,Lao People's Democratic Republic,IDA
2024,Marshall Islands,IDA
2024,"Micronesia, Federated States of",IDA
2024,Mongolia,IBRD
2024,Mongolia,IDA
2024,Myanmar,IDA
2024,Pacific Islands,IDA
2024,Papua New Guinea,IBRD
2024,Papua New Guinea,IDA
2024,Philippines,IBRD
2024,Philippines,IDA
2024,Samoa,IDA
2024,Solomon Islands,IDA
2024,South East Asia,IDA
2024,Thailand,IBRD
2024,Timor-Leste,IBRD
2024,Timor-Leste,IDA
2024,Tonga,IDA
2024,Tuvalu,IDA
2024,Vanuatu,IDA
2024,Viet Nam,IBRD
2024,Viet Nam,IDA
2024,Angola,IBRD
2024,Angola,IDA
2024,Botswana,IBRD
2024,Botswana,IDA
2024,Burundi,IDA
2024,Comoros,IDA
2024,"Congo, Democratic Republic of",IDA
2024,Eastern and Southern Africa,IDA
2024,Eswatini,IBRD
2024,Eswatini,IDA
2024,Ethiopia,IDA
2024,Kenya,IBRD
2024,Kenya,IDA
2024,Lesotho,IDA
2024,Madagascar,IDA
2024,Malawi,IDA
2024,Mauritius,IBRD
2024,Mauritius,IDA
2024,Mozambique,IDA
2024,Rwanda,IDA
2024,Sao Tome and Principe,IDA
2024,Seychelles,IBRD
2024,Somalia,IDA
2024,South Africa,IBRD
2024,South Sudan,IDA
2024,Sudan,IDA
2024,Tanzania,IDA
2024,Uganda,IDA
2024,Zambia,IDA
2024,Zimbabwe,IBRD
2024,Zimbabwe,IDA
2024,Albania,IBRD
2024,Albania,IDA
2024,Armenia,IBRD
2024,Armenia,IDA
2024,Azerbaijan,IBRD
2024,Azerbaijan,IDA
2024,Belarus,IBRD
2024,Bosnia and Herzegovina,IBRD
2024,Bosnia and Herzegovina,IDA
2024,Bulgaria,IBRD
2024,Croatia,IBRD
2024,Georgia,IBRD
2024,Georgia,IDA
2024,Kazakhstan,IBRD
2024,Kosovo,IBRD
2024,Kosovo,IDA
2024,Kyrgyz Republic,IDA
2024,Moldova,IBRD
2024,Moldova,IDA
2024,Montenegro,IBRD
2024,Montenegro,IDA
2024,North Macedonia,IBRD
2024,North Macedonia,IDA
2024,Poland,IBRD
2024,Romania,IBRD
2024,Serbia,IBRD
2024,Serbia,IDA
2024,Tajikistan,IDA
2024,Turkiye,IBRD
2024,Turkmenistan,IBRD
2024,Ukraine,IBRD
2024,Ukraine,IDA
2024,Uzbekistan,IBRD
2024,Uzbekistan,IDA
2024,Antigua and Barbuda,IBRD
2024,Argentina,IBRD
2024,Barbados,IBRD
2024,Belize,IBRD
2024,Bolivia,IBRD
2024,Bolivia,IDA
2024,Brazil,IBRD
2024,Caribbean,IDA
2024,Chile,IBRD
2024,Colombia,IBRD
2024,Costa Rica,IBRD
2024,Dominica,IDA
2024,Dominican Republic,IBRD
2024,Ecuador,IBRD
2024,El Salvador,IBRD
2024,El Salvador,IDA
2024,Grenada,IBRD
2024,Grenada,IDA
2024,Guatemala,IBRD
2024,Guyana,IDA
2024,Haiti,IDA
2024,Honduras,IDA
2024,Jamaica,IBRD
2024,Mexico,IBRD
2024,Nicaragua,IDA
2024,Panama,IBRD
2024,Paraguay,IBRD
2024,Paraguay,IDA
2024,Peru,IBRD
2024,St. Kitts and Nevis,IDA
2024,St. Lucia,IBRD
2024,St. Lucia,IDA
2024,St. Vincent and the Grenadines,IDA
2024,Suriname,IBRD
2024,Trinidad and Tobago,IBRD
2024,Uruguay,IBRD
2024,Djibouti,IDA
2024,"Egypt, Arab Republic of",IBRD
2024,"Egypt, Arab Republic of",IDA
2024,Iraq,IBRD
2024,Iraq,IDA
2024,Jordan,IBRD
2024,Jordan,IDA
2024,Lebanon,IBRD
2024,Lebanon,IDA
2024,Morocco,IBRD
2024,Morocco,IDA
2024,Tunisia,IBRD
2024,"Yemen, Republic of",IDA
2024,IFC,IDA
2024,MIGA,IDA
2024,Afghanistan,IDA
2024,Bangladesh,IDA
2024,Bhutan,IDA
2024,India,IBRD
2024,India,IDA
2024,Maldives,IDA
2024,Nepal,IDA
2024,Pakistan,IBRD
2024,Pakistan,IDA
2024,South Asia,IDA
2024,Sri Lanka,IBRD
2024,Sri Lanka,IDA
2024,Benin,IDA
2024,Burkina Faso,IDA
2024,Cabo Verde,IBRD
2024,Cabo Verde,IDA
2024,Cameroon,IBRD
2024,Cameroon,IDA
2024,Central Africa,IDA
2024,Central African Republic,IDA
2024,Chad,IDA
2024,"Congo, Republic of",IBRD
2024,"Congo, Republic of",IDA
2024,Cote d'Ivoire,IBRD
2024,Cote d'Ivoire,IDA
2024,Equatorial Guinea,IDA
2024,Gabon,IBRD
2024,"Gambia, The",IDA
2024,Ghana,IDA
2024,Guinea,IDA
2024,Guinea-Bissau,IDA
2024,Liberia,IDA
2024,Mali,IDA
2024,Mauritania,IDA
2024,Niger,IDA
2024,Nigeria,IBRD
2024,Nigeria,IDA
2024,Senegal,IDA
2024,Sierra Leone,IDA
2024,Togo,IDA
2024,Western and Central Africa,IDA
2023,Cambodia,IDA
2023,China,IBRD
2023,China,IDA
2023,Fiji,IBRD
2023,Fiji,IDA
2023,Indonesia,IBRD
2023,Indonesia,IDA
2023,Kiribati,IDA
2023,Lao People's Democratic Republic,IDA
2023,Marshall Islands,IDA
2023,"Micronesia, Federated States of",IDA
2023,Mongolia,IBRD
2023,Mongolia,IDA
2023,Myanmar,IDA
2023,Pacific Islands,IDA
2023,Papua New Guinea,IBRD
2023,Papua New Guinea,IDA
2023,Philippines,IBRD
2023,Philippines,IDA
2023,Samoa,IDA
2023,Solomon Islands,IDA
2023,South East Asia,IDA
2023,Thailand,IBRD
2023,Timor-Leste,IBRD
2023,Timor-Leste,IDA
2023,Tonga,IDA
2023,Tuvalu,IDA
2023,Vanuatu,IDA
2023,Vietnam,IBRD
2023,Vietnam,IDA
2023,Angola,IBRD
2023,Angola,IDA
2023,Botswana,IBRD
2023,Botswana,IDA
2023,Burundi,IDA
2023,Comoros,IDA
2023,"Congo, Democratic Republic of",IDA
2023,Eastern and Southern Africa,IDA
2023,Eswatini,IBRD
2023,Eswatini,IDA
2023,Ethiopia,IDA
2023,Kenya,IBRD
2023,Kenya,IDA
2023,Lesotho,IDA
2023,Madagascar,IDA
2023,Malawi,IDA
2023,Mauritius,IBRD
2023,Mauritius,IDA
2023,Mozambique,IDA
2023,Rwanda,IDA
2023,Sao Tome and Principe,IDA
2023,Seychelles,IBRD
2023,Somalia,IDA
2023,South Africa,IBRD
2023,South Sudan,IDA
2023,Sudan,IDA
2023,Tanzania,IDA
2023,Uganda,IDA
2023,Zambia,IDA
2023,Zimbabwe,IBRD
2023,Zimbabwe,IDA
2023,Albania,IBRD
2023,Albania,IDA
